"Ordem","Documento","id","family","scientificNameWithoutAuthorStandardizedSource","Doc_cat","Categoria","Critério","Presente em IN 06 2008","scientificNameSource","taxonRank","l2008_I","l2008_II","l2013","l2014"
2,"Portaria MMA 443 2014",1,"ACANTHACEAE","Aphelandra espirito-santensis","EN_2014","EN",,,"Aphelandra espirito-santensis Profice & Wassh.","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",2,"ACANTHACEAE","Aphelandra margaritae","VU_2014","VU",,,"Aphelandra margaritae E.Morren","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",3,"ACANTHACEAE","Aphelandra maximiliana","EN_2014","EN",,,"Aphelandra maximiliana (Nees) Benth.","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",4,"ACANTHACEAE","Dyschoriste lavandulacea","EN_2014","EN",,,"Dyschoriste lavandulacea (Nees) Kuntze","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",5,"ACANTHACEAE","Dyschoriste smithii","CR_2014","CR",,,"Dyschoriste smithii Leonard","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",6,"ACANTHACEAE","Justicia clausseniana","EN_2014","EN",,,"Justicia clausseniana (Nees) Profice","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",7,"ACANTHACEAE","Justicia genuflexa","VU_2014","VU",,,"Justicia genuflexa Nees & Mart.","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",8,"ACANTHACEAE","Justicia paranaensis","EN_2014","EN",,,"Justicia paranaensis (Rizzini) Wassh. & L.B.Sm.","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",9,"ACANTHACEAE","Justicia polita","EN_2014","EN",,,"Justicia polita (Nees) Profice","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
2,"Portaria MMA 443 2014",10,"ACANTHACEAE","Justicia ramulosa","VU_2014","VU",,,"Justicia ramulosa (Morong) C.Ezcurra","ESPECIE",,,"LV2013","Portaria MMA 443 2014"
