"Ordem","Documento","id","family","scientificNameWithoutAuthorStandardizedSource","Doc_cat","Categoria","Critério","Presente em IN 06 2008","scientificNameSource","taxonRank","l2008_I","l2008_II","l2013","l2014"
1,"IN 06 2008 - ANEXO I",1,"ACANTHACEAE","Ruellia chamaedrys","Presumivelmente extinta (**)_2008_I","Presumivelmente extinta (**)",,,"Ruellia chamaedrys (Nees) Angely","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013",
1,"IN 06 2008 - ANEXO I",2,"ACANTHACEAE","Staurogyne brachiata","_2008_I",,,,"Staurogyne brachiata (Hiern) Leonard","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",3,"ACANTHACEAE","Staurogyne veronicifolia","_2008_I",,,,"Staurogyne veronicifolia (Nees) Kuntze","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",4,"ACANTHACEAE","Staurogyne warmingiana","_2008_I",,,,"Staurogyne warmingiana (Hiern) Leonard","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",5,"ACANTHACEAE","Stenandrium stenophyllum","_2008_I",,,,"Stenandrium stenophyllum Kameyama","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",6,"ALSTROEMERIACEAE","Alstroemeria capixaba","_2008_I",,,,"Alstroemeria capixaba M.C.Assis","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",7,"AMARANTHACEAE","Gomphrena chrestoides","_2008_I",,,,"Gomphrena chrestoides C.C.Townsend","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013",
1,"IN 06 2008 - ANEXO I",8,"AMARANTHACEAE","Gomphrena duriuscula","_2008_I",,,,"Gomphrena duriuscula Moq.","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013",
1,"IN 06 2008 - ANEXO I",9,"AMARANTHACEAE","Gomphrena hatschbachiana","_2008_I",,,,"Gomphrena hatschbachiana Pedersen","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",10,"AMARANTHACEAE","Gomphrena scandens","_2008_I",,,,"Gomphrena scandens (R.E.Fr.) J.C.Siqueira","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013",
1,"IN 06 2008 - ANEXO I",11,"AMARANTHACEAE","Lecosia oppositifolia","_2008_I",,,,"Lecosia oppositifolia Pedersen","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013",
1,"IN 06 2008 - ANEXO I",12,"AMARANTHACEAE","Pfaffia argyrea","_2008_I",,,,"Pfaffia argyrea Pedersen","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
1,"IN 06 2008 - ANEXO I",13,"AMARANTHACEAE","Pfaffia minarum","_2008_I",,,,"Pfaffia minarum Pedersen","ESPECIE","IN 06 2008 - ANEXO I",,"LV2013","Portaria MMA 443 2014"
